participant,session,trial_number_overall,image_name,fixation_duration,eccentricity_fix,eccentricity_obj,sacc_amp,ROI_size
501,2,157,1004.jpg,172,95.4528679506279,66.7594813252096,0.649237447574738,9178
501,2,157,1004.jpg,1029,86.1176520813242,66.7594813252096,4.92117395431335,9178
501,2,37,1023.jpg,1072,71.0862152600629,18.7955361466285,NaN,2784
501,2,37,1023.jpg,732,91.9959238227434,126.597151017383,2.54094596495985,13208
501,2,37,1023.jpg,532,97.9400326730597,122.439478086784,2.9731834240421,4329
501,2,37,1023.jpg,840,169.059900626967,140.515577147308,1.83663122326262,22909
501,2,140,1034.jpg,573,76.5065356685297,70.8993153077737,1.69645766658124,191
501,2,140,1034.jpg,1066,153.799382313454,160.689024260208,1.98042637669747,570
501,2,140,1034.jpg,900,121.083648772243,126.327446637431,0.654627499645172,2548
501,2,140,1034.jpg,786,74.2377936094547,NaN,2.43118631668539,101728
501,2,159,1048.jpg,2935,112.103746592163,89.4468671869031,3.15850600295608,1971
501,2,137,1054.jpg,1185,97.6281209488332,112.429458410557,0.666556039252662,2600
501,2,57,1060.jpg,697,127.942369838924,139.116732893875,2.44582883852306,12884
501,2,57,1060.jpg,628,162.755184249228,139.116732893875,0.863582263372958,12884
501,2,57,1060.jpg,523,84.0371941464016,114.177524751689,4.5530651016057,10747
501,2,122,1063.jpg,852,80.908899386903,82.5533264416843,1.22317773150428,23235
501,2,122,1063.jpg,607,95.4528679506279,81.1582913725894,1.75737903441142,924
501,2,122,1063.jpg,694,72.624031835199,73.2354838162278,0.75210524496462,1581
501,2,122,1063.jpg,843,73.5611990114354,73.2354838162278,0.705788669874221,1581
501,2,28,1064.jpg,2131,127.578407263925,NaN,1.95799629406744,124090
501,2,45,1068.jpg,556,104.485644947045,NaN,1.57967767649822,127510
501,2,45,1068.jpg,891,143.440754320381,126.886470418137,2.65745301965284,5155
501,2,156,1073.jpg,388,85.3302408293801,99.3290651527809,2.09256770957344,2419
501,2,156,1073.jpg,1433,91.7673689281762,99.3290651527809,0.657512059944896,2419
501,2,156,1073.jpg,485,110.707949127423,100.69120463857,2.36741252823694,43425
501,2,156,1073.jpg,898,77.783352974785,99.3290651527809,2.58696855169966,2419
501,2,73,1101.jpg,527,165.943514486105,NaN,2.23498150283941,125337
501,2,73,1101.jpg,1676,116.345390970163,132.680620237706,1.87807374073496,677
501,2,73,1101.jpg,376,101.519702521235,141.616899475288,3.26206993821811,6155
501,2,125,1108.jpg,611,83.4700545105848,120.772309113004,0.766082353496112,7710
501,2,125,1108.jpg,640,101.647675821929,120.772309113004,2.8801804572515,7710
