"","b_Intercept","sd_subject_id__Intercept","Intercept","r_subject_id[501,Intercept]","r_subject_id[502,Intercept]","r_subject_id[503,Intercept]","r_subject_id[504,Intercept]","r_subject_id[505,Intercept]","r_subject_id[506,Intercept]","r_subject_id[507,Intercept]","r_subject_id[508,Intercept]","r_subject_id[509,Intercept]","r_subject_id[510,Intercept]","r_subject_id[511,Intercept]","r_subject_id[512,Intercept]","r_subject_id[513,Intercept]","r_subject_id[514,Intercept]","r_subject_id[515,Intercept]","r_subject_id[516,Intercept]","r_subject_id[517,Intercept]","r_subject_id[518,Intercept]","r_subject_id[519,Intercept]","r_subject_id[520,Intercept]","r_subject_id[521,Intercept]","r_subject_id[522,Intercept]","r_subject_id[523,Intercept]","r_subject_id[524,Intercept]","r_subject_id[525,Intercept]","r_subject_id[526,Intercept]","lprior","lp__"
"44",4.5323766,1.6076245,4.5323766,1.122663,1.5866954,1.7340989,0.016900429,3.2284588,-2.0075284,-1.7017242,-0.73435124,1.5657917,-1.0236039,0.40046859,0.63267249,-0.47155909,2.5807871,-0.45660162,2.2947492,0.98713693,0.83457577,-0.69899264,-1.2166966,-0.3131201,0.73229292,-0.71242599,1.2134526,-0.51066126,-0.99913443,-7.4970142,-192.24523
"45",4.32646,1.0955957,4.32646,0.70915549,0.39241971,0.25660027,0.38215466,-0.096259191,-1.5486159,0.063262212,-1.3694016,1.3776512,0.25655452,0.24689568,0.065366073,-0.1394118,0.18321381,-0.3191507,0.42387227,1.0451974,1.1996621,-0.84009277,-2.5541551,-0.21370094,0.32046882,1.2060095,-0.391687,1.8576586,-0.73028607,-6.5796119,-195.21935
"46",4.2998621,1.6877763,4.2998621,1.2465343,1.8534753,2.4823225,0.066253856,3.2452697,-2.4991422,-0.37100264,-0.85956142,0.76801578,-0.59631004,0.44486107,0.68679934,-0.31918083,2.6241712,-0.13825123,1.9958881,0.95686699,2.3296876,-0.072874135,-0.81285639,0.35618251,0.78084482,0.23610883,1.0593417,-0.20772001,-0.39855802,-7.1208052,-191.53172
"47",4.5945185,1.6399278,4.5945185,1.6426034,2.4303932,-0.36815945,0.90804295,0.31955739,-1.6512168,-1.1286494,-1.0825804,1.3257635,0.35785836,0.60589307,0.30729128,0.38741999,0.035573636,-0.57938271,0.97794069,0.68269302,0.9082145,-1.046667,-2.5435454,-0.55827186,2.7126906,0.16547303,-0.55322345,1.6462196,-0.89612063,-7.6553537,-190.88968
"48",4.5710789,1.4635038,4.5710789,-0.31377393,0.2715042,2.3487656,0.087886396,1.2065606,-2.1375539,-0.96171818,-1.3965917,0.57564064,-0.95231397,0.61354393,0.38191829,-0.87540504,1.9653273,0.60303765,0.39930144,1.0804665,0.061049616,-0.88575899,-1.393648,-0.55024234,-0.12435901,1.3476799,-0.047845128,2.960928,-1.1503169,-7.4311879,-192.75767
"49",4.3392512,0.84906627,4.3392512,0.36810714,1.0907396,0.092870017,0.31095641,0.97106332,-1.7223531,-0.53110961,-0.076130403,-0.1342988,-0.25100687,0.078811701,-0.11490544,-0.23302563,1.2432292,0.044239691,-0.58110668,0.6019537,0.94715709,-0.10761926,-1.6482448,0.14345554,-0.99013761,-0.46405748,-0.57870875,0.9227904,-0.4985615,-6.3577145,-199.19298
"50",4.4920556,1.1077797,4.4920556,0.77279708,1.3871634,0.20007994,0.81262022,1.0046751,-2.2989377,-0.039975339,-0.440658,-0.2091773,-0.26382793,-0.029026333,0.066922204,-0.70498817,1.2075853,0.5730321,-0.29127042,0.53770095,1.1621487,-0.02892041,-2.4446404,-0.085647792,-1.0443364,-1.2078765,-0.92664767,1.0059811,-1.0626634,-6.9163086,-199.24703
"51",4.407463,1.4627061,4.407463,1.0979998,-0.0063384868,2.5025349,-0.66986261,0.69079943,-2.02409,-1.8432237,-1.7562266,1.9869951,-0.28744453,1.4956619,0.18251019,0.13732679,0.22308339,-1.8509782,2.8333121,0.62292188,0.17570232,-0.65493928,-1.1931727,0.052807947,1.6171308,1.7925526,1.4515298,1.6354281,-0.79910024,-7.1039386,-199.56532
"52",3.959423,1.2009588,3.959423,2.1519196,1.5082249,-0.027366283,1.052747,1.8464777,-1.85775,0.13276278,-0.49025179,1.0487079,-0.28905468,-0.2793072,0.32979984,-0.045937543,1.6167034,0.85245691,0.29857936,1.3335144,2.0282686,-0.63497826,-1.9944378,0.14915538,0.37906459,1.6365341,-0.28053932,-0.33009659,-0.77500067,-6.0091469,-196.93403
"53",3.8851457,1.2740193,3.8851457,0.6197878,1.9837512,0.84666743,1.0653577,1.0868641,-1.6608785,-0.1529471,-0.94132089,0.8906275,-0.18964113,-0.31587406,-0.34130742,-0.075573494,1.4691589,1.0598269,0.48435778,1.791878,1.8405735,-0.41136697,-1.3728913,-0.014661766,0.99316105,1.3013578,0.33984551,0.41565396,0.066143669,-5.9527246,-193.33853
"54",4.2221312,1.3886597,4.2221312,1.0280152,1.9305026,1.7330545,-0.11358577,0.86687183,-1.4186533,-0.71212954,-0.38386735,0.99373561,0.99913109,1.6907182,1.9326174,0.97409942,0.38056094,-0.93733679,2.084706,1.7428253,2.6006644,0.12041941,-1.4667694,0.68245019,2.4046155,-0.25379291,1.5964521,1.704841,-1.0114846,-6.6744838,-199.1009
